VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,1675148357000000,1675149372000000,1.0,2.5,1.0,N,68,237,1,17.7,2.5,0.5,4.3,0.0,1.0,26.0,2.5,0.0
2,1675145954000000,1675148586000000,1.0,15.04,1.0,N,132,165,2,62.5,0.0,0.5,0.0,0.0,1.0,65.25,0.0,1.25
2,1675145709000000,1675146590000000,1.0,4.25,1.0,N,24,162,1,20.5,0.0,0.5,7.35,0.0,1.0,31.85,2.5,0.0
2,1675147898000000,1675148501000000,1.0,2.91,1.0,N,75,161,1,14.9,0.0,0.5,3.78,0.0,1.0,22.68,2.5,0.0
1,1675145181000000,1675145591000000,1.0,1.1,1.0,N,186,161,1,7.9,2.5,0.5,1.0,0.0,1.0,12.9,2.5,0.0
1,1675146159000000,1675146480000000,1.0,1.0,1.0,N,186,161,2,7.2,2.5,0.5,0.0,0.0,1.0,11.2,2.5,0.0
1,1675147387000000,1675147910000000,1.0,1.2,1.0,N,68,48,1,9.3,2.5,0.5,3.3,0.0,1.0,16.6,2.5,0.0
1,1675146257000000,1675148058000000,1.0,10.8,99.0,N,213,134,1,35.2,0.0,0.5,0.0,6.55,1.0,43.25,0.0,0.0
2,1675145654000000,1675145851000000,1.0,0.68,1.0,N,249,90,1,5.8,0.0,0.5,2.45,0.0,1.0,12.25,2.5,0.0
2,1675146177000000,1675146634000000,1.0,1.43,1.0,N,186,161,1,9.3,0.0,0.5,2.66,0.0,1.0,15.96,2.5,0.0
2,1675147217000000,1675147816000000,1.0,1.42,1.0,N,48,163,1,11.4,0.0,0.5,3.08,0.0,1.0,18.48,2.5,0.0
2,1675145810000000,1675146110000000,1.0,0.76,1.0,N,186,230,1,7.2,0.0,0.5,2.24,0.0,1.0,13.44,2.5,0.0
2,1675146623000000,1675147442000000,1.0,1.73,1.0,N,186,137,1,13.5,0.0,0.5,1.0,0.0,1.0,18.5,2.5,0.0
2,1675146347000000,1675146880000000,1.0,2.44,1.0,N,262,233,2,12.1,0.0,0.5,0.0,0.0,1.0,16.1,2.5,0.0
2,1675147758000000,1675148278000000,1.0,1.18,1.0,N,100,48,1,10.0,0.0,0.5,0.01,0.0,1.0,14.01,2.5,0.0
1,1675149637000000,1675150554000000,1.0,2.7,1.0,N,262,161,1,14.9,2.5,0.5,3.8,0.0,1.0,22.7,2.5,0.0
1,1675150843000000,1675151495000000,1.0,0.8,1.0,N,229,141,1,10.0,2.5,0.5,2.8,0.0,1.0,16.8,2.5,0.0
1,1675151790000000,1675152678000000,1.0,1.9,1.0,N,140,170,1,12.8,2.5,0.5,3.35,0.0,1.0,20.15,2.5,0.0
1,1675150378000000,1675150389000000,2.0,0.0,1.0,N,193,193,2,3.0,0.0,0.5,0.0,0.0,1.0,4.5,0.0,0.0
2,1675149578000000,1675149909000000,1.0,0.0,1.0,N,193,193,2,6.5,0.0,0.5,0.0,0.0,1.0,8.0,0.0,0.0
2,1675149490000000,1675149512000000,1.0,0.0,1.0,N,207,207,2,3.0,0.0,0.5,0.0,0.0,1.0,4.5,0.0,0.0
1,1675151572000000,1675151606000000,1.0,0.0,1.0,N,145,145,2,3.0,0.0,0.5,0.0,0.0,1.0,4.5,0.0,0.0
1,1675151614000000,1675151794000000,1.0,0.0,1.0,N,145,145,2,3.0,0.0,0.5,0.0,0.0,1.0,4.5,0.0,0.0
1,1675151802000000,1675151819000000,1.0,0.0,1.0,N,145,145,2,3.0,0.0,0.5,0.0,0.0,1.0,4.5,0.0,0.0
1,1675151497000000,1675151827000000,1.0,0.8,1.0,N,142,162,1,7.2,2.5,0.5,2.2,0.0,1.0,13.4,2.5,0.0
